% Model:              aln_moli_interlayer_pi_buono.mph
% Version:            COMSOL 5.4.0.295
% Date:               Aug 1 2022, 11:31
% Table:              Tabella 3 - ADMITTANCE (abs(es.Y11))
% freq (GHz)                                      d=0.05, 10*log10(abs(es.Y11))                     d=0.058621, 10*log10(abs(es.Y11))                 d=0.067241, 10*log10(abs(es.Y11))                 d=0.075862, 10*log10(abs(es.Y11))                 d=0.084483, 10*log10(abs(es.Y11))                 d=0.093103, 10*log10(abs(es.Y11))                 d=0.10172, 10*log10(abs(es.Y11))                  d=0.11034, 10*log10(abs(es.Y11))                  d=0.11897, 10*log10(abs(es.Y11))                  d=0.12759, 10*log10(abs(es.Y11))                  d=0.13621, 10*log10(abs(es.Y11))                  d=0.14483, 10*log10(abs(es.Y11))                  d=0.15345, 10*log10(abs(es.Y11))                  d=0.16207, 10*log10(abs(es.Y11))                  d=0.17069, 10*log10(abs(es.Y11))                  d=0.17931, 10*log10(abs(es.Y11))                  d=0.18793, 10*log10(abs(es.Y11))                  d=0.19655, 10*log10(abs(es.Y11))                  d=0.20517, 10*log10(abs(es.Y11))                  d=0.21379, 10*log10(abs(es.Y11))                  d=0.22241, 10*log10(abs(es.Y11))                  d=0.23103, 10*log10(abs(es.Y11))                  d=0.23966, 10*log10(abs(es.Y11))                  d=0.24828, 10*log10(abs(es.Y11))                  d=0.2569, 10*log10(abs(es.Y11))                   d=0.26552, 10*log10(abs(es.Y11))                  d=0.27414, 10*log10(abs(es.Y11))                  d=0.28276, 10*log10(abs(es.Y11))                  d=0.29138, 10*log10(abs(es.Y11))                  d=0.3, 10*log10(abs(es.Y11))
2                                                 -17.232136925000155                               -17.22976026095435                                -17.227368893764158                               -17.22496184241865                                -17.22253709644974                                -17.22008977708648                                -17.217610882307525                               -17.215091715087503                               -17.212532153642897                               -17.209938791134977                               -17.207316083597863                               -17.204663895910965                               -17.2019796596592                                 -17.199260145854197                               -17.19650211510676                                -17.19370243384402                                -17.19085803323403                                -17.187965843654872                               -17.185022738044953                               -17.182025487702965                               -17.178970727440735                               -17.17585492658173                                -17.172674363135588                               -17.169425099295825                               -17.166102956984275                               -17.162703492529097                               -17.159221969777533                               -17.155653331060662                               -17.151992165479108                               -17.148232673987135
2.001001001001001                                 -17.22979526624944                                -17.2274146396972                                 -17.22501931300315                                -17.22260824211759                                -17.220179203894848                               -17.217726923810133                               -17.215242214101824                               -17.21271705485823                                -17.2101521841517                                 -17.207554082913305                               -17.204926666026925                               -17.20226951772399                                -17.19958002505758                                -17.19685498812581                                -17.194091198747845                               -17.191285541377983                               -17.18843495334157                                -17.185536363008374                               -17.182586635989555                               -17.179582532697722                               -17.176520674493254                               -17.173397515204197                               -17.17020931554216                                -17.166952118673983                               -17.163621725736473                               -17.1602136704158                                 -17.156723191911503                               -17.153145205711134                               -17.1494742716482                                 -17.145704558720567
2.002002002002002                                 -17.227454486055287                               -17.22506989804133                                -17.222670608756854                               -17.220255498761684                               -17.217822112232263                               -17.21536478092363                                -17.212874208933023                               -17.21034311687244                                -17.207773009991293                               -17.205170181201083                               -17.202538030192954                               -17.1998758926595                                 -17.19718112041695                                -17.194450541975424                               -17.19168097814077                                -17.18886932976511                                -17.186012539383487                               -17.18310753284214                                -17.180151168142793                               -17.177140194645514                               -17.174071220145922                               -17.170940682884236                               -17.167744826185885                               -17.164479674098494                               -17.161141006872082                               -17.15772433543699                                -17.154224874216844                               -17.150637511711334                               -17.14695677832433                                -17.14317681091459
2.003003003003003                                 -17.225114584566626                               -17.222726035828696                               -17.22032277947912                                -17.217903607404562                               -17.21546581195077                                -17.21300334010971                                -17.210506870129603                               -17.207969910005257                               -17.205394633319454                               -17.20278708300924                                -17.20015017247229                                -17.197483017842718                               -17.194782943493962                               -17.192046805477652                               -17.18927145147348                                -17.18645379720367                                -17.183590789522157                               -17.1806793512633                                 -17.177716332548606                               -17.17469847152335                                -17.17162236230616                                -17.168484427456733                               -17.165280892825393                               -17.162007763247036                               -17.158660797982133                               -17.155235485090255                               -17.151727014089907                               -17.148130246347396                               -17.144439682673298                               -17.140649427603126
2.004004004004004                                 -17.222775561919573                               -17.220383052786474                               -17.217975823308898                               -17.215552562580616                               -17.213110293350205                               -17.210642594138026                               -17.20814020218248                                -17.20559744257143                                -17.203017055566022                               -17.200404785250257                               -17.197763089368614                               -17.195090890511228                               -17.192385492111065                               -17.18964377674367                                -17.186862616956294                               -17.18403894190795                                -17.181169701933083                               -17.178251816390613                               -17.175282127261564                               -17.172257361318074                               -17.169174098890455                               -17.16602874676489                                -17.16281751322687                                -17.159536383804063                               -17.156181096663623                               -17.152747116878373                               -17.149229608931368                               -17.145623406908925                               -17.141922981863406                               -17.138122405821687
2.0050050050050054                                -17.220437418225192                               -17.218040948504633                               -17.215629738042015                               -17.213202358313247                               -17.210755546665336                               -17.208282536967154                               -17.205774210549485                               -17.203225722233825                               -17.200640277514005                               -17.19802328477585                                -17.195376777510894                               -17.192699508007184                               -17.189988764151558                               -17.187241453918613                               -17.184454472820473                               -17.18162476210734                                -17.17874927480418                                -17.175824926353812                               -17.17284855034628                                -17.169816862025787                               -17.166726427823818                               -17.16357363865969                                -17.160354685163497                               -17.15706553346027                                -17.15370190051899                                -17.150259228308734                               -17.14673265614568                                -17.14311699068842                                -17.13940667306495                                -17.135595742606792
2.006006006006006                                 -17.218100153556158                               -17.21569972241267                                -17.21328452110526                                -17.2108529881346                                 -17.208401562198937                               -17.205923163813345                               -17.20340890145153                                -17.200854755943023                               -17.198264299378458                               -17.195642578408027                               -17.192991233650147                               -17.190308867769872                               -17.187592757554818                               -17.18483983517905                                -17.182047017316847                               -17.179211256045413                               -17.176329506335037                               -17.17339867929299                                -17.170415599876833                               -17.167376971651276                               -17.164279347039205                               -17.161119100999308                               -17.15789240641493                                -17.15459520991201                                -17.15122320715556                                -17.14777181689279                                -17.144236153140533                               -17.140610994980726                               -17.136890753449677                               -17.133069434995445
2.007007007007007                                 -17.215763767932447                               -17.21335937375561                                -17.210940169533718                               -17.208504445117466                               -17.206048330459915                               -17.20356447118412                                -17.201044281669176                               -17.19848454990433                                -17.19588912088145                                -17.193262662964276                               -17.190606454655285                               -17.187918967328727                               -17.185197470311994                               -17.18243891873062                                -17.179640248714385                               -17.176798421978987                               -17.173910394736215                               -17.170973073357946                               -17.167983273936123                               -17.164937688207424                               -17.16183285447695                                -17.158665131648558                               -17.155430674766695                               -17.152125410860787                               -17.14874501418499                                -17.14528488014554                                -17.141740097326302                               -17.138105417082528                               -17.134375220190233                               -17.130543480024592
2.008008008008008                                 -17.213428261305943                               -17.211019901569767                               -17.208596679952283                               -17.20615672191972                                -17.203695842302146                               -17.20120645687645                                -17.198680358346884                               -17.196115109567987                               -17.193514741321742                               -17.190883535277774                               -17.188222437508337                               -17.185529804296667                               -17.182802900461848                               -17.180038702805785                               -17.17723416529892                                -17.174386258177204                               -17.171491938228453                               -17.168548106707497                               -17.16555157061524                                -17.16249900971459                                -17.159386948084137                               -17.156211728478322                               -17.152969488009642                               -17.149656134012634                               -17.146267319222705                               -17.142798415584927                               -17.13924448611549                                -17.13560025429176                                -17.131860070459624                               -17.12801787473056
2.009009009009009                                 -17.211093633544127                               -17.20868130465864                                -17.206254048562222                               -17.203809810841232                               -17.201344089059198                               -17.19884911994121                                -17.196317138811207                               -17.19374643963839                                -17.191141159638764                               -17.188505192213242                               -17.185839179299247                               -17.183141376363793                               -17.180409046086925                               -17.177639185661704                               -17.174828765371846                               -17.17197476292064                                -17.16907413504195                                -17.16612377750881                                -17.16312048801287                                -17.16006093420001                                -17.156941625814056                               -17.15375888936495                                -17.15050884393937                                -17.147187377077596                               -17.143790119887377                               -17.140312420731327                               -17.13674931692221                                -17.133095503907093                               -17.129345301430657                               -17.125492616148545
