% Model:              titanium_v2.mph
% Version:            COMSOL 5.4.0.295
% Date:               Aug 24 2022, 16:18
% Table:              Tabella 3 - ADMITTANCE (abs(es.Y11))
% freq (GHz)                                      d=0.05, 10*log10(abs(es.Y11))                     d=0.058621, 10*log10(abs(es.Y11))                 d=0.067241, 10*log10(abs(es.Y11))                 d=0.075862, 10*log10(abs(es.Y11))                 d=0.084483, 10*log10(abs(es.Y11))                 d=0.093103, 10*log10(abs(es.Y11))                 d=0.10172, 10*log10(abs(es.Y11))                  d=0.11034, 10*log10(abs(es.Y11))                  d=0.11897, 10*log10(abs(es.Y11))                  d=0.12759, 10*log10(abs(es.Y11))                  d=0.13621, 10*log10(abs(es.Y11))                  d=0.14483, 10*log10(abs(es.Y11))                  d=0.15345, 10*log10(abs(es.Y11))                  d=0.16207, 10*log10(abs(es.Y11))                  d=0.17069, 10*log10(abs(es.Y11))                  d=0.17931, 10*log10(abs(es.Y11))                  d=0.18793, 10*log10(abs(es.Y11))                  d=0.19655, 10*log10(abs(es.Y11))                  d=0.20517, 10*log10(abs(es.Y11))                  d=0.21379, 10*log10(abs(es.Y11))                  d=0.22241, 10*log10(abs(es.Y11))                  d=0.23103, 10*log10(abs(es.Y11))                  d=0.23966, 10*log10(abs(es.Y11))                  d=0.24828, 10*log10(abs(es.Y11))                  d=0.2569, 10*log10(abs(es.Y11))                   d=0.26552, 10*log10(abs(es.Y11))                  d=0.27414, 10*log10(abs(es.Y11))                  d=0.28276, 10*log10(abs(es.Y11))                  d=0.29138, 10*log10(abs(es.Y11))                  d=0.3, 10*log10(abs(es.Y11))
1                                                 -20.334478856124164                               -20.334021720053933                               -20.333568469615212                               -20.333118958619796                               -20.332673043692342                               -20.332230584095498                               -20.331791441555865                               -20.33135548008802                                -20.330922565813655                               -20.330492566772556                               -20.330065352720666                               -20.329640794909785                               -20.329218765842                                  -20.328799138989847                               -20.328381788470963                               -20.32796658866273                                -20.327553413737935                               -20.327142137096715                               -20.326732630662256                               -20.326324763996308                               -20.32591840317568                                -20.325513409348602                               -20.32510963685883                                -20.324706930779193                               -20.324305123628136                               -20.323904030939104                               -20.323503445192664                               -20.323103127366984                               -20.32270279495083                                -20.322302104574838
1.004004004004004                                 -20.315396841645036                               -20.314954493467425                               -20.314516295874498                               -20.314082082243438                               -20.313651686586823                               -20.313224943336834                               -20.31280168714168                                -20.31238175267154                                -20.311964974431326                               -20.31155118657545                                -20.31114022271852                                -20.310731915733452                               -20.310326097525614                               -20.309922598767983                               -20.309521248577475                               -20.30912187410642                                -20.308724300014923                               -20.30832834777883                                -20.30793383477359                                -20.307540573054016                               -20.30714836772276                                -20.306757014741308                               -20.306366297983907                               -20.3059759852571                                 -20.305585822897513                               -20.305195528402354                               -20.304804780321515                               -20.304413204326913                               -20.30402035396609                                -20.30362568416317
1.008008008008008                                 -20.2958434145362                                 -20.29543911730822                                -20.295040050528215                               -20.294645949464744                               -20.29425653834181                                -20.29387153050447                                -20.29349062880545                                -20.293113526216217                               -20.292739906660046                               -20.292369446056572                               -20.292001813558905                               -20.291636672956134                               -20.291273684204988                               -20.29091250504667                                -20.290552792657817                               -20.29019420528008                                -20.28983640377114                                -20.289479053024753                               -20.289121823220363                               -20.288764390892034                               -20.288406439862396                               -20.288047662191957                               -20.287687759489327                               -20.28732644529247                                -20.28696344992046                                -20.286598530517935                               -20.286231491585905                               -20.285862226354926                               -20.285490799391233                               -20.28511761060901
1.012012012012012                                 -20.27627196715645                                -20.275992640027283                               -20.27571888099567                                -20.275449642187986                               -20.27518385766883                                -20.274920458123155                               -20.274658385915018                               -20.27439661001595                                -20.274134140304202                               -20.273870040774558                               -20.273603441266236                               -20.273333547409717                               -20.273059648608218                               -20.272781123999756                               -20.272497446490412                               -20.272208185106354                               -20.27191300608751                                -20.271611673352172                               -20.271304049220824                               -20.270990096637014                               -20.270669884616424                               -20.270343599360526                               -20.270011564457437                               -20.269674274859284                               -20.269332450616908                               -20.26898711666284                                -20.268639711365758                               -20.26829221215459                                -20.267947227384706                               -20.267607921169013
1.016016016016016                                 -20.25968874089223                                -20.259631475957836                               -20.259554087833664                               -20.25945526601809                                -20.25933415159182                                -20.2591903038954                                 -20.25902365873419                                -20.258834481398168                               -20.258623317495505                               -20.258390944172845                               -20.25813832380489                                -20.25786656174377                                -20.257576869265886                               -20.257270532469356                               -20.25694888756744                                -20.25661330278127                                -20.25626516682591                                -20.25590588374076                                -20.255536873421352                               -20.25515957647353                                -20.25477546064579                                -20.254386023730618                               -20.25399278415444                                -20.25359724569967                                -20.253200818612108                               -20.252804680392398                               -20.252409574161362                               -20.252015578904828                               -20.25162193981298                                -20.25122708454066
1.02002002002002                                  -20.248932899660403                               -20.24861757607517                                -20.24826710770743                                -20.247885949084097                               -20.24747818989772                                -20.247047554900274                               -20.246597414817717                               -20.246130804817103                               -20.2456504477875                                 -20.245158780301793                               -20.24465797959666                                -20.24414999023857                                -20.24363654933505                                -20.243119209209897                               -20.24259935640415                                -20.242078225730445                               -20.241556907980105                               -20.24103634991201                                -20.240517345582898                               -20.240000519221514                               -20.239486301978772                               -20.23897490798715                                -20.23846631857745                                -20.237960285674433                               -20.237456364164096                               -20.23695397682428                                -20.236452505001054                               -20.23595138757541                                -20.235450205509974                               -20.234948732931652
1.024024024024024                                 -20.23711481124371                                -20.236363865593464                               -20.23561784740293                                -20.23487781347309                                -20.23414460552974                                -20.23341888595102                                -20.23270116689197                                -20.23199183363589                                -20.231291162863265                               -20.23059933643731                                -20.229916451274246                               -20.22924252590733                                -20.228577504471048                               -20.2279212590172                                 -20.227273591294782                               -20.226634235316393                               -20.2260028621008                                 -20.225379087819082                               -20.224762486100538                               -20.224152604475453                               -20.223548983963813                               -20.222951179898622                               -20.222358781489586                               -20.221771427610513                               -20.221188816885437                               -20.220610711191714                               -20.220036932879808                               -20.21946735699503                                -20.218901900350012                               -20.218340509382784
1.028028028028028                                 -20.22176669728411                                -20.220894467808094                               -20.220040096109418                               -20.21920284618701                                -20.218381997177616                               -20.217576842757712                               -20.216786690522788                               -20.21601086160276                                -20.21524869074031                                -20.21449952700703                                -20.21376273525886                                -20.213037698337864                               -20.212323819920208                               -20.211620527803316                               -20.210927277336573                               -20.210243554647004                               -20.209568879307085                               -20.20890280614054                                -20.208244925955864                               -20.207594865120868                               -20.206952284021856                               -20.206316874565008                               -20.20568835696003                                -20.205066476066076                               -20.204450997580018                               -20.203841704313888                               -20.20323839275401                                -20.202640870031352                               -20.202048951371495                               -20.201462458040247
1.032032032032032                                 -20.2049509747767                                 -20.204081723805984                               -20.20322927320923                                -20.202392801359863                               -20.201571532848273                               -20.200764736475602                               -20.199971723445543                               -20.19919184566685                                -20.19842449408977                                -20.19766909701248                                -20.196925118311604                               -20.196192055570698                               -20.19546943810017                                -20.194756824860352                               -20.194053802314006                               -20.193359982244708                               -20.192674999582664                               -20.191998510280357                               -20.19133018927684                                -20.19066972858321                                -20.1900168355141                                 -20.189371231080674                               -20.188732648552865                               -20.188100832190727                               -20.187475536138628                               -20.186856523471498                               -20.18624356537941                                -20.185636440474713                               -20.185034934205778                               -20.18443883836136
1.0360360360360361                                -20.187712143549994                               -20.18686591909534                                -20.18603402165951                                -20.185215843475763                               -20.18441081145687                                -20.18361838463569                                -20.182838051764378                               -20.182069329067893                               -20.181311758148954                               -20.180564904041386                               -20.179828353408723                               -20.17910171288365                                -20.178384607543368                               -20.177676679514764                               -20.17697758670233                                -20.17628700163124                                -20.175604610397354                               -20.17493011171553                                -20.17426321605797                                -20.173603644873758                               -20.172951129881813                               -20.17230541242929                                -20.17166624290827                                -20.171033380224227                               -20.170406591309987                               -20.169785650680065                               -20.169170340020244                               -20.168560447808357                               -20.167955768962496                               -20.167356104513303
