% Model:              PI_FBAR_MLOAD.mph
% Version:            COMSOL 5.4.0.295
% Date:               Apr 19 2022, 15:47
% Table:              Tabella 3 - ADMITTANCE (abs(es.Y11))
% freq (GHz)                                      d=0.05, 10*log10(abs(es.Y11))                     d=0.058621, 10*log10(abs(es.Y11))                 d=0.067241, 10*log10(abs(es.Y11))                 d=0.075862, 10*log10(abs(es.Y11))                 d=0.084483, 10*log10(abs(es.Y11))                 d=0.093103, 10*log10(abs(es.Y11))                 d=0.10172, 10*log10(abs(es.Y11))                  d=0.11034, 10*log10(abs(es.Y11))                  d=0.11897, 10*log10(abs(es.Y11))                  d=0.12759, 10*log10(abs(es.Y11))                  d=0.13621, 10*log10(abs(es.Y11))                  d=0.14483, 10*log10(abs(es.Y11))                  d=0.15345, 10*log10(abs(es.Y11))                  d=0.16207, 10*log10(abs(es.Y11))                  d=0.17069, 10*log10(abs(es.Y11))                  d=0.17931, 10*log10(abs(es.Y11))                  d=0.18793, 10*log10(abs(es.Y11))                  d=0.19655, 10*log10(abs(es.Y11))                  d=0.20517, 10*log10(abs(es.Y11))                  d=0.21379, 10*log10(abs(es.Y11))                  d=0.22241, 10*log10(abs(es.Y11))                  d=0.23103, 10*log10(abs(es.Y11))                  d=0.23966, 10*log10(abs(es.Y11))                  d=0.24828, 10*log10(abs(es.Y11))                  d=0.2569, 10*log10(abs(es.Y11))                   d=0.26552, 10*log10(abs(es.Y11))                  d=0.27414, 10*log10(abs(es.Y11))                  d=0.28276, 10*log10(abs(es.Y11))                  d=0.29138, 10*log10(abs(es.Y11))                  d=0.3, 10*log10(abs(es.Y11))
2                                                 -22.8450895468899                                 -22.828811580905658                               -22.81201235879951                                -22.79464788329676                                -22.77667004811176                                -22.758026119319247                               -22.738658142926525                               -22.718502266973776                               -22.697487964722253                               -22.675537143573802                               -22.652563122371117                               -22.62846945780818                                -22.603148599104323                               -22.576480349326168                               -22.5483301125506                                 -22.518546909677536                               -22.4869611540394                                 -22.453382193860936                               -22.41759565605376                                -22.37936066958996                                -22.33840711067633                                -22.294433093056085                               -22.2471029972527                                 -22.196046292335794                               -22.14085695730866                                -22.081091660042567                               -22.016259981405454                               -21.945787092312976                               -21.86889822573805                                -21.784308495458255
2.002002002002002                                 -22.83835107827718                                -22.821966982298175                               -22.80505595175287                                -22.787573465811803                               -22.769470837254644                               -22.750694686564017                               -22.73118634131119                                -22.710881149096764                               -22.68970769057183                                -22.667586877202083                               -22.64443091653686                                -22.620142125978298                               -22.594611574715742                               -22.567717533108684                               -22.539323710205103                               -22.509277264599064                               -22.477406583497697                               -22.443518842663632                               -22.40739738985824                                -22.36879904114837                                -22.327451445842996                               -22.283050755564876                               -22.235259889301943                               -22.183707595873518                               -22.12798792509212                                -22.06765769625379                                -22.002223774457153                               -21.93109703785989                                -21.853454797635365                               -21.767881906756415
2.004004004004004                                 -22.831603480515184                               -22.815112403628888                               -22.798088653443415                               -22.780487179892877                               -22.762258708600175                               -22.743349207670125                               -22.723699278881128                               -22.70324346148515                                -22.68190943512265                                -22.65961710655715                                -22.636277563137632                               -22.611791874299495                               -22.586049721353234                               -22.558927835847328                               -22.530288228835428                               -22.49997619885562                                -22.46781811749697                                -22.43361901119243                                -22.397159990401963                               -22.358195626957823                               -22.31645144862537                                -22.271621796617097                               -22.223368329478383                               -22.171319304960754                               -22.11506901104063                                -22.05417426080365                                -21.98813805258751                                -21.91635328944139                                -21.83794000423381                                -21.751332657419752
2.006006006006006                                 -22.824846649073777                               -22.808247733250386                               -22.791110344650093                               -22.7733888982809                                 -22.755033526389962                               -22.73598953793796                                -22.716196801596844                               -22.695589040439017                               -22.674093024821858                               -22.651627648239803                               -22.62810286923459                                -22.6034185010425                                 -22.577462829889626                               -22.550111043334145                               -22.521223452787282                               -22.490643500840633                               -22.458195556572505                               -22.423682523803844                               -22.386883322384747                               -22.347550354899276                               -22.30540714064147                                -22.26014637030632                                -22.211428648553667                               -22.158881965416576                               -22.102100976366067                               -22.04064221288279                                -21.974003357417985                               -21.90155498777887                                -21.822349195862273                               -21.734647930097655
2.008008008008008                                 -22.81808047871116                                -22.80137285878137                                -22.78412090540334                                -22.766278492964787                               -22.747795154125615                               -22.728615531961346                               -22.70867875477546                                -22.68791772171882                                -22.66625828573606                                -22.643618318704668                               -22.619906642078913                               -22.59502180514246                                -22.568850692523057                               -22.54126694359945                                -22.51212916989608                                -22.481278964141648                               -22.448538708756995                               -22.413709215433283                               -22.376567265144985                               -22.336863172706515                               -22.294318569762666                               -22.24862466415871                                -22.199441217167312                               -22.146396164496373                               -22.089084610574595                               -22.027062390432594                               -21.959820079382414                               -21.886700833972302                               -21.806676735477083                               -21.717813116766965
2.01001001001001                                  -22.811304863479055                               -22.79448766711382                                -22.777120214995033                               -22.759155835194935                               -22.740543454586838                               -22.721227043651936                               -22.70114498312324                                -22.680229340588735                               -22.65840504360886                                -22.635588934336198                               -22.611688689212347                               -22.586601586331252                               -22.560213102951465                               -22.53239532714089                                -22.503005171787258                               -22.47188238793167                                -22.438847390086618                               -22.403698932240346                               -22.366211713462437                               -22.326134048921233                               -22.28318581115254                                -22.237056900036816                               -22.187406446042846                               -22.133862529161608                               -22.076020725106993                               -22.013435593819995                               -21.94558842189536                                -21.871789020625137                               -21.79091588964195                                -21.700811710596902
2.012012012012012                                 -22.80451969672823                                -22.787592044420713                               -22.770108151989007                               -22.752020795497366                               -22.73327828985066                                -22.71382392626498                                -22.693595330769995                               -22.67252373186229                                -22.650533123921306                               -22.627539311528583                               -22.603448818572453                               -22.578157645276452                               -22.55154985655497                                -22.523495987162843                               -22.49385125418918                                -22.462453577376188                               -22.429121425125395                               -22.39365153227352                                -22.355816578377706                               -22.31536297385273                                -22.272008968277465                               -22.22544333493833                                -22.175324785933338                               -22.121281723738054                               -22.062910145707065                               -21.999762567066416                               -21.93130836132683                                -21.856817157309795                               -21.775058716603965                               -21.68362521139738
2.014014014014014                                 -22.797724871114436                               -22.78068587616419                                -22.7630845942322                                 -22.74487324368911                                -22.72599952131189                                -22.706406032426628                               -22.686029641305442                               -22.66480072995055                                -22.642642351955487                               -22.61946926676973                                -22.59518683860331                                -22.56968978372665                                -22.542860750586865                               -22.514568719826478                               -22.484667217259418                               -22.45299234405603                                -22.419360647507602                               -22.383566886153602                               -22.345381788026494                               -22.30454996053744                                -22.26078817387823                                -22.213784261667733                               -22.163196727251552                               -22.10865444687937                                -22.049753703372556                               -21.986043976409096                               -21.916979602556523                               -21.841782190516046                               -21.759095953019553                               -21.666233048774316
2.016016016016016                                 -22.790920278604894                               -22.77376904710446                                -22.756049418866823                               -22.73771304889422                                -22.718707009704787                               -22.698973214162763                               -22.67844775781739                                -22.65706016891272                                -22.63473255286148                                -22.611378616729393                               -22.58690255837141                                -22.561197804663774                               -22.534145584373178                               -22.505613324510772                               -22.47545286592437                                -22.4434985064064                                 -22.409564900498392                               -22.37344487777513                                -22.334907288486157                               -22.293695045692424                               -22.249523590890355                               -22.202080009355555                               -22.151022799336385                               -22.0959814277453                                 -22.036552223733015                               -21.972280385969555                               -21.902601529913284                               -21.826680318368084                               -21.74301690121302                                -21.64861252725072
2.018018018018018                                 -22.78410581048526                                -22.766841441309175                               -22.749002502342893                               -22.730540079561                                  -22.711400615125893                               -22.691525322929493                               -22.67084952293221                                -22.649301882509555                               -22.626803551727622                               -22.603267178351697                               -22.578595787687185                               -22.552681512462456                               -22.52540415952135                                -22.4966296040845                                 -22.46620801023264                                -22.43397189017187                                -22.39973403757196                                -22.363285405024445                               -22.32439304463114                                -22.28279829065577                                -22.238215413298818                               -22.19033094379713                                -22.13880356930115                                -22.083263421295904                               -22.023306514690404                               -21.95847223030354                                -21.88817315334976                                -21.811506900563373                               -21.726809319182063                               -21.630738797586805
